time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,level
0,5,7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1
5,7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2
7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,2
6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1
0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,0
1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,0
2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,0
4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,1
3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,4,0
2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,4,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,4,8,7,4,0,0,1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4,8,7,4,0,0,1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1
8,7,4,0,0,1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,2
7,4,0,0,1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,7,1
0,1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,0
1,2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,2,0
2,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,2,1,0
3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,2,1,1,0
5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,2,1,1,2,0
2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,2,1,1,2,2,0
