time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,target
0,4,7,6,3,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2
4,7,6,3,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,2
7,6,3,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,1
6,3,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,0
0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,0
2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,3,1
3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,3,5,1
2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,3,5,6,1
2,3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,3,5,6,5,0
3,2,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,3,5,6,5,3,0
