time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,target
0,6,9,6,0,0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
6,9,6,0,0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2
9,6,0,0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2
6,0,0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,1
0,0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,0
0,3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,3,0
3,5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,3,2,0
5,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,3,2,2,0
6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,3,2,2,1,0
5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,3,2,2,1,1,0
