time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,target
0,2,3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,0
2,3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,0
3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,1
4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,1
5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,1
6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,2
7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,2
7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,2
5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,1
3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,1
2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,1
1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,1
2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,1
3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,1
4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,0
4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,3,0
3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,3,2,0
