time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,target
0,5,7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1
5,7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2
7,6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,2
6,3,0,0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1
0,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,0
1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,0
2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,0
4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,1
3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,4,0
2,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,0,0,1,2,3,4,2,0
4,4,3,3,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3,3,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
3,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0
2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,0
1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,0
2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,0
3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,3,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,3,4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,3,4,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,3,4,4,4,1
0,4,9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1
4,9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,2
9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,9,2
7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,9,8,1
0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0
2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,3,0
0,6,7,4,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,4,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2
7,4,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1
0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,1
2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,4,1
3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,4,6,1
3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,4,6,6,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,4,6,6,4,0
0,2,3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,0
2,3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,0
3,4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,1
4,5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,1
5,6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,1
6,7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,2
7,7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,2
7,5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,2
5,3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,1
3,2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,1
2,1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,1
1,2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,1
2,3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,1
3,4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,1
4,4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,0
4,3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,3,0
3,2,0,0,0,0,0,0,2,3,4,5,6,7,7,7,5,5,4,5,5,4,3,2,0
0,3,6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1
5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,1
2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,0
1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,0
1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,2,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,2,1,0,0
